
2025/02/14 (13:12:38) | ===> btop++ v.1.4.0
2025/02/14 (13:12:38) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (13:12:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (13:12:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (13:12:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (13:12:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (13:12:40) | ===> btop++ v.1.4.0
2025/02/14 (13:12:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (13:12:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (13:12:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (13:12:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (13:12:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (14:32:10) | ===> btop++ v.1.4.0
2025/02/14 (14:32:10) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (14:32:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (14:32:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (14:32:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (14:32:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (15:13:01) | ===> btop++ v.1.4.0
2025/02/14 (15:13:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (15:13:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (15:13:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (15:13:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (15:13:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (18:23:12) | ===> btop++ v.1.4.0
2025/02/14 (18:23:12) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (18:23:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (18:23:12) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (18:23:12) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (18:23:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (18:23:14) | ===> btop++ v.1.4.0
2025/02/14 (18:23:14) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (18:23:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (18:23:14) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (18:23:14) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (18:23:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (18:23:16) | ===> btop++ v.1.4.0
2025/02/14 (18:23:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (18:23:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (18:23:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (18:23:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (18:23:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (20:32:29) | ===> btop++ v.1.4.0
2025/02/14 (20:32:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (20:32:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (20:32:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (20:32:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (20:32:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (20:34:53) | ===> btop++ v.1.4.0
2025/02/14 (20:34:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (20:34:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (20:34:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (20:34:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (20:34:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (20:38:58) | ===> btop++ v.1.4.0
2025/02/14 (20:38:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (20:38:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (20:38:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (20:38:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (20:38:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (20:38:59) | ===> btop++ v.1.4.0
2025/02/14 (20:38:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
